name,url,code,pinyin
三河,//jobs.zhaopin.com/sanhe/,10170,sanhe
三门,//jobs.zhaopin.com/taizhou_re3375/,10145,sanmen
山南,//www.zhaopin.com/shannan/,849,shannan
上虞,//jobs.zhaopin.com/shaoxing_re3386/,10130,shangyu
尚志,//www.zhaopin.com/shangzhi/,10160,shangzhi
神农架,//www.zhaopin.com/shennongjia/,10179,shennongjia
石河子,//www.zhaopin.com/shihezi/,10061,shihezi
石嘴山,//www.zhaopin.com/shizuishan/,887,shizuishan
双城,//www.zhaopin.com/shuangcheng/,10159,shuangcheng
双鸭山,//www.zhaopin.com/shuangyashan/,626,shuangyashan
朔州,//www.zhaopin.com/shuozhou/,581,shuozhou
思茅,//jobs.zhaopin.com/puer_re3402/,839,simao
宿松,//jobs.zhaopin.com/susong/,10182,susong
绥芬河,//www.zhaopin.com/suifenhe/,10161,suifenhe
塞内加尔,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=919&sm=0&p=1&sf=0,919,saineijiaer
塞浦路斯,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=490&sm=0&p=1&sf=0,490,saipulusi
沙特阿拉伯,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=517&sm=0&p=1&sf=0,517,shatealabo
天津,//www.zhaopin.com/tianjin/,531,tianjin
台州,//www.zhaopin.com/taizhou/,662,taizhou
太原,//www.zhaopin.com/taiyuan/,576,taiyuan
泰安,//www.zhaopin.com/taian/,710,taian
泰州,//www.zhaopin.com/tzhou/,647,taizhou
唐山,//www.zhaopin.com/tangshan/,566,tangshan
铁岭,//www.zhaopin.com/tieling/,610,tieling
铜川,//www.zhaopin.com/tongchuan/,855,tongchuan
通辽,//www.zhaopin.com/tongliao/,591,tongliao
通化,//www.zhaopin.com/tonghua/,617,tonghua
铜陵,//www.zhaopin.com/tongling/,670,tongling
天水,//www.zhaopin.com/tianshui/,868,tianshui
铜仁,//www.zhaopin.com/tongren/,826,tongren
塔城,//www.zhaopin.com/tacheng/,902,tacheng
台山,//jobs.zhaopin.com/jiangmen_re3403/,10112,taishan
太仓市,//www.zhaopin.com/taicang/,911,taicangshi
泰兴,//jobs.zhaopin.com/tai4zhou_re3397/,10149,taixing
天门,//www.zhaopin.com/tianmen/,10140,tianmen
通州,//jobs.zhaopin.com/nantong_re3399/,10155,tongzhou
桐乡,//jobs.zhaopin.com/jiaxing_re3381/,10127,tongxiang
图木舒克,//www.zhaopin.com/tumushuke/,10177,tumushuke
吐鲁番,//www.zhaopin.com/tulufan/,892,tulufan
屯昌,//jobs.zhaopin.com/tunchang/,10189,tunchang
台湾,//jobs.zhaopin.com/taiwan/,563,taiwansheng
泰国,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=523&sm=0&p=1&sf=0,523,taiguo
坦桑尼亚,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=916&sm=0&p=1&sf=0,916,tansangniya
土耳其,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=524&sm=0&p=1&sf=0,524,tuerqi
武汉,//www.zhaopin.com/wuhan/,736,wuhan
威海,//www.zhaopin.com/weihai/,711,weihai
潍坊,//www.zhaopin.com/weifang/,708,weifang
温州,//www.zhaopin.com/wenzhou/,655,wenzhou
乌鲁木齐,//www.zhaopin.com/wulumuqi/,890,wulumuqi
无锡,//www.zhaopin.com/wuxi/,636,wuxi
芜湖,//www.zhaopin.com/wuhu/,665,wuhu
渭南,//www.zhaopin.com/weinan/,858,weinan
万宁,//jobs.zhaopin.com/wanning/,10186,wanning
温岭,//jobs.zhaopin.com/taizhou_re3129/,10129,wenling
文昌,//www.zhaopin.com/wenchang/,10185,wenchang
文山,//www.zhaopin.com/wenshan/,838,wenshan
乌海,//www.zhaopin.com/wuhai/,589,wuhai
乌兰察布,//www.zhaopin.com/wulanchabu/,596,wulanchabu
乌审旗,//www.zhaopin.com/wushenqi/,10031,wushenqi
乌苏,//www.zhaopin.com/wusu/,10166,wusu
吴忠,//www.zhaopin.com/wuzhong/,888,wuzhong
梧州,//www.zhaopin.com/wuzhou/,788,wuzhou
五家渠,//www.zhaopin.com/wujiaqu/,10178,wujiaqu
五指山,//jobs.zhaopin.com/wuzhishan/,10184,wuzhishan
武威,//www.zhaopin.com/wuwei/,869,wuwei
武穴,//www.zhaopin.com/wuxue/,10139,wuxue
乌干达,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=917&sm=0&p=1&sf=0,917,wuganda
乌克兰,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=525&sm=0&p=1&sf=0,525,wukelan
西安,//www.zhaopin.com/xian/,854,xian
西藏,//www.zhaopin.com/xizang/,555,xicang
厦门,//www.zhaopin.com/xiamen/,682,shamen
咸阳,//www.zhaopin.com/xianyang/,857,xianyang
襄阳,//www.zhaopin.com/xiangyang/,740,xiangyang
新乡,//www.zhaopin.com/xinxiang/,725,xinxiang
徐州,//www.zhaopin.com/xuzhou/,637,xuzhou
许昌,//www.zhaopin.com/xuchang/,728,xuchang
信阳,//www.zhaopin.com/xinyang/,733,xinyang
邢台,//www.zhaopin.com/xingtai/,569,xingtai
新疆,//www.zhaopin.com/xinjiang/,560,xinjiang
新余,//www.zhaopin.com/xinyu/,695,xinyu
